ITEM,POPULATION TYPE,OCCURRENCES,POPULATION COUNT,PREVALENCE RATE,PREVALENCE PERCENTAGE
Viral Sinusitis (Disorder),LIVING,868,1000,0.868,86.8
Acute Viral Pharyngitis (Disorder),LIVING,772,1000,0.772,77.2
Acute Bronchitis (Disorder),LIVING,749,1000,0.749,74.9
Otitis Media,LIVING,699,1000,0.699,69.9
Acetaminophen 160 Mg,LIVING,689,1000,0.689,68.9
Acetaminophen 160 Mg Oral Tablet,LIVING,536,1000,0.536,53.6
Amoxicillin 250 Mg / Clavulanate 125 Mg [Augmentin],LIVING,534,1000,0.534,53.4
Streptococcal Sore Throat (Disorder),LIVING,487,1000,0.487,48.7
Penicillin V Potassium 250 Mg,LIVING,390,1000,0.39,39
Acetaminophen 325 Mg Oral Tablet,LIVING,388,1000,0.388,38.8
Sprain Of Ankle,LIVING,367,1000,0.367,36.7
Aspirin 81 Mg Oral Tablet,LIVING,359,1000,0.359,35.9
Dextromethorphan Hydrobromide 1 Mg/Ml,LIVING,355,1000,0.355,35.5
Normal Pregnancy,LIVING,340,1000,0.34,34
Ibuprofen 100 Mg Oral Tablet,LIVING,339,1000,0.339,33.9
Ibuprofen 200 Mg Oral Tablet,LIVING,306,1000,0.306,30.6
Amoxicillin 200 Mg Oral Tablet,LIVING,268,1000,0.268,26.8
Naproxen Sodium 220 Mg Oral Tablet,LIVING,260,1000,0.26,26
Hypertension,LIVING,238,1000,0.238,23.8
Prediabetes,LIVING,232,1000,0.232,23.2
Norinyl 1+50 28 Day Pack,LIVING,212,1000,0.212,21.2
Chronic Sinusitis (Disorder),LIVING,202,1000,0.202,20.2
Concussion With No Loss Of Consciousness,LIVING,200,1000,0.2,20
Sinusitis (Disorder),LIVING,189,1000,0.189,18.9
Sprain Of Wrist,LIVING,188,1000,0.188,18.8
Acute Bacterial Sinusitis (Disorder),LIVING,180,1000,0.18,18
Mestranol / Norethynodrel [Enovid],LIVING,168,1000,0.168,16.8
Ortho Tri Cyclen 28 Day Pack,LIVING,163,1000,0.163,16.3
Penicillin V Potassium 500 Mg,LIVING,161,1000,0.161,16.1
Whiplash Injury To Neck,LIVING,150,1000,0.15,15
Penicillin G 375 Mg/Ml Injectable Solution,LIVING,146,1000,0.146,14.6
Jolivette 28 Day Pack,LIVING,141,1000,0.141,14.1
1 Ml Depo Provera 150 Mg/Ml Injection,LIVING,135,1000,0.135,13.5
Fracture Of Clavicle,LIVING,125,1000,0.125,12.5
Camila 28 Day Pack,LIVING,125,1000,0.125,12.5
Nitrofurantoin 5 Mg/Ml [Furadantin],LIVING,124,1000,0.124,12.4
Phenazopyridine Hydrochloride 100 Mg [Pyridium],LIVING,124,1000,0.124,12.4
Fracture Of Forearm,LIVING,122,1000,0.122,12.2
Laceration Of Thigh,LIVING,117,1000,0.117,11.7
Miscarriage In First Trimester,LIVING,117,1000,0.117,11.7
Laceration Of Hand,LIVING,113,1000,0.113,11.3
Laceration Of Forearm,LIVING,112,1000,0.112,11.2
Errin 28 Day Pack,LIVING,111,1000,0.111,11.1
Fracture Subluxation Of Wrist,LIVING,110,1000,0.11,11
Cefuroxime 250 Mg Oral Tablet,LIVING,107,1000,0.107,10.7
Facial Laceration,LIVING,103,1000,0.103,10.3
Estrostep Fe 28 Day Pack,LIVING,100,1000,0.1,10
0.3 Ml Epinephrine 0.5 Mg/Ml Auto Injector,LIVING,92,1000,0.092,9.2
Laceration Of Foot,LIVING,91,1000,0.091,9.1
Fetus With Chromosomal Abnormality,LIVING,91,1000,0.091,9.1
Fracture Of Ankle,LIVING,90,1000,0.09,9
Allergy To Mould,LIVING,90,1000,0.09,9
Child Attention Deficit Disorder,LIVING,86,1000,0.086,8.6
Meperidine Hydrochloride 50 Mg Oral Tablet,LIVING,86,1000,0.086,8.6
Dander (Animal) Allergy,LIVING,82,1000,0.082,8.2
Antepartum Eclampsia,LIVING,79,1000,0.079,7.9
Doxycycline Monohydrate 50 Mg Oral Tablet,LIVING,79,1000,0.079,7.9
Escherichia Coli Urinary Tract Infection,LIVING,78,1000,0.078,7.8
First Degree Burn,LIVING,77,1000,0.077,7.7
Acetaminophen 325 Mg / Oxycodone Hydrochloride 5 Mg Oral Tablet,LIVING,73,1000,0.073,7.3
Ampicillin 100 Mg/Ml Injectable Solution,LIVING,72,1000,0.072,7.2
Levonorgestrel 0.00354 Mg/Hr [Norplant],LIVING,70,1000,0.07,7
Polyp Of Colon,LIVING,68,1000,0.068,6.8
Preeclampsia,LIVING,66,1000,0.066,6.6
Allergy To Grass Pollen,LIVING,66,1000,0.066,6.6
House Dust Mite Allergy,LIVING,65,1000,0.065,6.5
Mirena 52 Mg Intrauterine System,LIVING,64,1000,0.064,6.4
Nuvaring 0.12/0.015 Mg Per 24hr 21 Day Vaginal Ring,LIVING,63,1000,0.063,6.3
Acetaminophen 325 Mg / Hydrocodone Bitartrate 7.5 Mg Oral Tablet,LIVING,63,1000,0.063,6.3
Allergy To Tree Pollen,LIVING,62,1000,0.062,6.2
Cystitis,LIVING,58,1000,0.058,5.8
Naproxen Sodium 220 Mg [Aleve],LIVING,56,1000,0.056,5.6
Clopidogrel,LIVING,54,1000,0.054,5.4
Concussion With Loss Of Consciousness,LIVING,53,1000,0.053,5.3
Fracture Of Rib,LIVING,52,1000,0.052,5.2
Cefaclor 250 Mg Oral Capsule,LIVING,51,1000,0.051,5.1
Amoxicillin 500 Mg Oral Tablet,LIVING,51,1000,0.051,5.1
Diabetes,LIVING,49,1000,0.049,4.9
Injury Of Tendon Of The Rotator Cuff Of Shoulder,LIVING,49,1000,0.049,4.9
Nexplanon 68 Mg Drug Implant,LIVING,49,1000,0.049,4.9
Acute Allergic Reaction,LIVING,48,1000,0.048,4.8
Prednisone 5 Mg Oral Tablet,LIVING,48,1000,0.048,4.8
Blighted Ovum,LIVING,46,1000,0.046,4.6
24 Hr Metformin Hydrochloride 500 Mg Extended Release Oral Tablet,LIVING,44,1000,0.044,4.4
Second Degree Burn,LIVING,43,1000,0.043,4.3
120 Actuat Fluticasone Propionate 0.044 Mg/Actuat Metered Dose Inhaler,LIVING,42,1000,0.042,4.2
200 Actuat Albuterol 0.09 Mg/Actuat Metered Dose Inhaler,LIVING,42,1000,0.042,4.2
Stroke,LIVING,40,1000,0.04,4
Childhood Asthma,LIVING,40,1000,0.04,4
Trinessa 28 Day Pack,LIVING,40,1000,0.04,4
Appendicitis,LIVING,39,1000,0.039,3.9
History Of Appendectomy,LIVING,39,1000,0.039,3.9
Seasonique 91 Day Pack,LIVING,39,1000,0.039,3.9
Perennial Allergic Rhinitis,LIVING,38,1000,0.038,3.8
Alteplase,LIVING,37,1000,0.037,3.7
Yaz 28 Day Pack,LIVING,37,1000,0.037,3.7
Implanon 68 Mg Drug Implant,LIVING,37,1000,0.037,3.7
Miscarriage In Second Trimester,LIVING,36,1000,0.036,3.6
Allergy To Eggs,LIVING,35,1000,0.035,3.5
Perennial Allergic Rhinitis With Seasonal Variation,LIVING,34,1000,0.034,3.4
Xulane 150/35 Mcg/Day Weekly Transdermal System,LIVING,34,1000,0.034,3.4
Closed Fracture Of Hip,LIVING,33,1000,0.033,3.3
Osteoarthritis Of Knee,LIVING,33,1000,0.033,3.3
Osteoporosis (Disorder),LIVING,31,1000,0.031,3.1
Cardiac Arrest,LIVING,31,1000,0.031,3.1
History Of Cardiac Arrest,LIVING,31,1000,0.031,3.1
Epinephrine,LIVING,31,1000,0.031,3.1
Atropine,LIVING,31,1000,0.031,3.1
Shellfish Allergy,LIVING,30,1000,0.03,3
Fluticasone Propionate 0.25 Mg/Actuat / Salmeterol 0.05 Mg/Actuat [Advair],LIVING,30,1000,0.03,3
Coronary Heart Disease,LIVING,29,1000,0.029,2.9
Simvastatin,LIVING,29,1000,0.029,2.9
Amlodipine,LIVING,29,1000,0.029,2.9
Nitroglycerin,LIVING,29,1000,0.029,2.9
Amiodarone,LIVING,29,1000,0.029,2.9
Allergy To Bee Venom,LIVING,28,1000,0.028,2.8
Allergy To Wheat,LIVING,28,1000,0.028,2.8
Alendronic Acid 10 Mg [Fosamax],LIVING,28,1000,0.028,2.8
Fexofenadine Hydrochloride 30 Mg Oral Tablet,LIVING,28,1000,0.028,2.8
Contact Dermatitis,LIVING,26,1000,0.026,2.6
Atopic Dermatitis,LIVING,26,1000,0.026,2.6
Allergy To Fish,LIVING,25,1000,0.025,2.5
Diphenhydramine Hydrochloride 25 Mg Oral Tablet,LIVING,25,1000,0.025,2.5
Asthma,LIVING,24,1000,0.024,2.4
Latex Allergy,LIVING,24,1000,0.024,2.4
Levora 0.15/30 28 Day Pack,LIVING,24,1000,0.024,2.4
Neuropathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,23,1000,0.023,2.3
Injury Of Medial Collateral Ligament Of Knee,LIVING,23,1000,0.023,2.3
Nitrofurantoin Macrocrystals 50 Mg [Macrodantin],LIVING,23,1000,0.023,2.3
Loratadine 5 Mg Chewable Tablet,LIVING,23,1000,0.023,2.3
Injury Of Anterior Cruciate Ligament,LIVING,22,1000,0.022,2.2
Concussion Injury Of Brain,LIVING,22,1000,0.022,2.2
Seizure Disorder,LIVING,22,1000,0.022,2.2
History Of Single Seizure (Situation),LIVING,22,1000,0.022,2.2
Allergy To Dairy Product,LIVING,22,1000,0.022,2.2
Hydrocortisone 10 Mg/Ml Topical Cream,LIVING,22,1000,0.022,2.2
Chronic Obstructive Bronchitis (Disorder),LIVING,21,1000,0.021,2.1
Methylphenidate Hydrochloride 20 Mg [Ritalin],LIVING,21,1000,0.021,2.1
Allergy To Nut,LIVING,20,1000,0.02,2
Tear Of Meniscus Of Knee,LIVING,19,1000,0.019,1.9
Tubal Pregnancy,LIVING,19,1000,0.019,1.9
Allergy To Peanuts,LIVING,19,1000,0.019,1.9
Chlorpheniramine 2 Mg Chewable Tablet,LIVING,19,1000,0.019,1.9
Diabetic Retinopathy Associated With Type Ii Diabetes Mellitus (Disorder),LIVING,18,1000,0.018,1.8
0.65 Ml Depo Subq Provera 160 Mg/Ml Prefilled Syringe,LIVING,18,1000,0.018,1.8
Pathological Fracture Due To Osteoporosis (Disorder),LIVING,15,1000,0.015,1.5
Impacted Molars,LIVING,15,1000,0.015,1.5
3 Ml Liraglutide 6 Mg/Ml Pen Injector,LIVING,15,1000,0.015,1.5
12 Hr Cefaclor 500 Mg Extended Release Oral Tablet,LIVING,15,1000,0.015,1.5
Acetaminophen 300 Mg / Hydrocodone Bitartrate 5 Mg [Vicodin],LIVING,15,1000,0.015,1.5
Osteoarthritis Of Hip,LIVING,14,1000,0.014,1.4
Epilepsy,LIVING,14,1000,0.014,1.4
Diabetic Renal Disease (Disorder),LIVING,13,1000,0.013,1.3
Rupture Of Appendix,LIVING,13,1000,0.013,1.3
Rupture Of Patellar Tendon,LIVING,13,1000,0.013,1.3
Insulin Human Isophane 70 Unt/Ml / Regular Insulin Human 30 Unt/Ml Injectable Suspension [Humulin],LIVING,13,1000,0.013,1.3
Clonazepam [Klonopin],LIVING,13,1000,0.013,1.3
Natazia 28 Day Pack,LIVING,13,1000,0.013,1.3
Diazepam [Valium],LIVING,13,1000,0.013,1.3
Naproxen Sodium 550 Mg [Anaprox],LIVING,12,1000,0.012,1.2
Nonproliferative Diabetic Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,11,1000,0.011,1.1
Seasonal Allergic Rhinitis,LIVING,11,1000,0.011,1.1
Congenital Uterine Anomaly,LIVING,11,1000,0.011,1.1
Carbamazepine[Tegretol],LIVING,11,1000,0.011,1.1
Galantamine 4 Mg [Razadyne],LIVING,11,1000,0.011,1.1
Pulmonary Emphysema (Disorder),LIVING,10,1000,0.01,1
Allergy To Soya,LIVING,10,1000,0.01,1
Astemizole 10 Mg Oral Tablet,LIVING,10,1000,0.01,1
Cetirizine Hydrochloride 5 Mg Oral Tablet,LIVING,10,1000,0.01,1
Complication Occuring During Pregnancy,LIVING,9,1000,0.009,0.9
Localized Primary Osteoarthritis Of The Hand,LIVING,9,1000,0.009,0.9
Alzheimer's Disease (Disorder),LIVING,9,1000,0.009,0.9
Loratadine 10 Mg Oral Tablet,LIVING,9,1000,0.009,0.9
Recurrent Rectal Polyp,LIVING,8,1000,0.008,0.8
Primary Malignant Neoplasm Of Colon,LIVING,8,1000,0.008,0.8
Drug Overdose,LIVING,8,1000,0.008,0.8
Recurrent Urinary Tract Infection,LIVING,8,1000,0.008,0.8
Doxycycline Monohydrate 100 Mg Oral Tablet,LIVING,8,1000,0.008,0.8
Brain Damage   Traumatic,LIVING,7,1000,0.007,0.7
Canagliflozin 100 Mg Oral Tablet,LIVING,7,1000,0.007,0.7
Liletta 52 Mg Intrauterine System,LIVING,7,1000,0.007,0.7
Chronic Intractable Migraine Without Aura,LIVING,6,1000,0.006,0.6
Acetaminophen 325 Mg / Oxycodone Hydrochloride 5 Mg [Percocet],LIVING,6,1000,0.006,0.6
Donepezil Hydrochloride 10 Mg / Memantine Hydrochloride 28 Mg [Namzaric],LIVING,6,1000,0.006,0.6
Bullet Wound,LIVING,5,1000,0.005,0.5
Chronic Pain,LIVING,5,1000,0.005,0.5
Primary Fibromyalgia Syndrome,LIVING,5,1000,0.005,0.5
Third Degree Burn,LIVING,5,1000,0.005,0.5
Oxycodone Hydrochloride 15 Mg [Oxycontin],LIVING,5,1000,0.005,0.5
Terfenadine 60 Mg Oral Tablet,LIVING,5,1000,0.005,0.5
Fexofenadine Hydrochloride 60 Mg Oral Tablet,LIVING,5,1000,0.005,0.5
Gout,LIVING,4,1000,0.004,0.4
Insulin Lispro 100 Unt/Ml Injectable Solution [Humalog],LIVING,4,1000,0.004,0.4
Pregabalin 100 Mg [Lyrica],LIVING,4,1000,0.004,0.4
Duloxetine 20 Mg [Cymbalta],LIVING,4,1000,0.004,0.4
Milnacipran Hydrochloride 100 Mg [Savella],LIVING,4,1000,0.004,0.4
Allopurinol 100 Mg [Zyloprim],LIVING,4,1000,0.004,0.4
Kyleena 19.5 Mg Intrauterine System,LIVING,4,1000,0.004,0.4
Rheumatoid Arthritis,LIVING,3,1000,0.003,0.3
Microalbuminuria Due To Type 2 Diabetes Mellitus (Disorder),LIVING,3,1000,0.003,0.3
Leucovorin 100 Mg Injection,LIVING,3,1000,0.003,0.3
Oxaliplatin 5 Mg/Ml [Eloxatin],LIVING,3,1000,0.003,0.3
Methotrexate 10 Mg [Trexall],LIVING,3,1000,0.003,0.3
Macular Edema And Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,2,1000,0.002,0.2
Overlapping Malignant Neoplasm Of Colon,LIVING,2,1000,0.002,0.2
Malignant Tumor Of Colon,LIVING,2,1000,0.002,0.2
Protracted Diarrhea,LIVING,2,1000,0.002,0.2
Bleeding From Anus,LIVING,2,1000,0.002,0.2
Familial Alzheimer's Disease Of Early Onset (Disorder),LIVING,2,1000,0.002,0.2
Myocardial Infarction,LIVING,2,1000,0.002,0.2
History Of Myocardial Infarction,LIVING,2,1000,0.002,0.2
Fracture Of Vertebral Column Without Spinal Cord Injury,LIVING,2,1000,0.002,0.2
Memantine Hydrochloride 2 Mg/Ml [Namenda],LIVING,2,1000,0.002,0.2
Acetaminophen 325 Mg / Oxycodone Hydrochloride 2.5 Mg [Percocet],LIVING,2,1000,0.002,0.2
Atorvastatin,LIVING,2,1000,0.002,0.2
Captopril,LIVING,2,1000,0.002,0.2
Secondary Malignant Neoplasm Of Colon,LIVING,1,1000,0.001,0.1
Proteinuria Due To Type 2 Diabetes Mellitus (Disorder),LIVING,1,1000,0.001,0.1
Proliferative Diabetic Retinopathy Due To Type Ii Diabetes Mellitus (Disorder),LIVING,1,1000,0.001,0.1
Atomoxetine 100 Mg [Strattera],LIVING,1,1000,0.001,0.1
Suspected Lung Cancer (Situation),LIVING,0,1000,0,0
Non Small Cell Lung Cancer (Disorder),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 4 (Disorder),LIVING,0,1000,0,0
Pneumonia,LIVING,0,1000,0,0
Small Cell Carcinoma Of Lung (Disorder),LIVING,0,1000,0,0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 4 (Disorder),LIVING,0,1000,0,0
History Of Amputation Of Foot (Situation),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 1 (Disorder),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 3 (Disorder),LIVING,0,1000,0,0
Burn Injury(Morphologic Abnormality),LIVING,0,1000,0,0
Non Small Cell Carcinoma Of Lung Tnm Stage 2 (Disorder),LIVING,0,1000,0,0
Pyelonephritis,LIVING,0,1000,0,0
Attempted Suicide   Suffocation,LIVING,0,1000,0,0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 2 (Disorder),LIVING,0,1000,0,0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 3 (Disorder),LIVING,0,1000,0,0
Cisplatin 50 Mg Injection,LIVING,0,1000,0,0
Paclitaxel 100 Mg Injection,LIVING,0,1000,0,0
Etoposide 100 Mg Injection,LIVING,0,1000,0,0
Donepezil Hydrochloride 10 Mg [Aricept],LIVING,0,1000,0,0
Donepezil Hydrochloride 23 Mg [Aricept],LIVING,0,1000,0,0
Tacrine 10 Mg Oral Capsule,LIVING,0,1000,0,0
Prednisone 2.5 Mg [Deltasone],LIVING,0,1000,0,0
Colchicine 0.6 Mg [Colcrys],LIVING,0,1000,0,0
Chlorpheniramine 8 Mg Oral Tablet,LIVING,0,1000,0,0
